"names.deg.","deg","degree_centrality","closeness_centrality","eigenvector_centrality","betweenness_centrality"
"ARID3A",11831,11831,2.94689691754582e-05,0.764298038835422,13529.1972504155
"ATF1",6534,6534,2.54588966114209e-05,0.472964863785191,9214.93014335136
"ATF2",10232,10232,2.81325606256681e-05,0.698873050290936,9053.54754189521
"ATF3",8503,8503,2.68413141507408e-05,0.59283132078959,6045.46098188388
"BACH1",12518,12518,3.01331886940276e-05,0.738752794296932,6753.54792434248
"BATF",4504,4504,2.41499227202473e-05,0.308973754126106,5923.35845343301
"BCL11A",2760,2760,2.30984223777516e-05,0.210973226402147,1694.33163516467
"BCL3",8693,8693,2.69186249966352e-05,0.602837202217753,6384.0020573987
"BCLAF1",9631,9631,2.76640478034746e-05,0.680978389255777,6394.77734363135
"BDP1",218,218,1.4370706751358e-05,0.0790815493342687,48.223196596112
"BHLHE40",15908,15908,3.34694423990896e-05,0.918758609325551,57303.2687798313
"BRCA1",12627,12627,3.01804792660107e-05,0.814185377143455,8216.28916115519
"BRF1",137,137,1.43533802210421e-05,0.0562253634492923,26.6255730289827
"BRF2",139,139,0.0625,0.0756300568993956,6.61147013995347
"CBX2",1371,1371,2.09507447989776e-05,0.109741457225167,3423.4142043062
"CBX3",12035,12035,2.96322636086171e-05,0.771576636988884,33404.9286343629
"CBX8",1445,1445,2.08372403158926e-05,0.120291199108799,5013.10558582324
"CCNT2",12527,12527,3.00797112347721e-05,0.81724954998995,14017.3366240251
"CEBPB",16404,16404,3.40587854637104e-05,0.902777896788102,52781.2113883977
"CEBPD",10797,10797,2.86196731633325e-05,0.713155746933668,3696.04089491235
"CEBPZ",963,963,2.0755500207555e-05,0.12772179577542,422.952958179221
"CHD1",17588,17588,3.5551763367463e-05,0.920255569737041,17043.103452358
"CHD2",16297,16297,3.39420270178535e-05,0.929317915031917,30716.0131876412
"CHD4",3689,3689,2.36882624659481e-05,0.293622245549764,2474.69336472876
"CHD7",12250,12250,2.98578765078228e-05,0.733124212123838,14911.531068641
"CREB1",13378,13378,3.08775396776385e-05,0.847297556824417,10367.0585050941
"CREBBP",1723,1723,2.24532411253564e-05,0.153201520099024,1742.07515159286
"CTBP2",6250,6250,2.52780586450961e-05,0.397354207367185,4020.17552267378
"CTCF",21671,21671,4.149377593361e-05,0.998748127799424,116639.724616001
"CTCFL",4576,4576,2.42224590640442e-05,0.323781039617304,1909.27276731011
"CUX1",10290,10290,2.81325606256681e-05,0.686886042874825,7721.22901000033
"E2F1",3089,3089,2.34148168961319e-05,0.267044213212821,1709.90808684484
"E2F4",13841,13841,3.13391206242753e-05,0.842213680494802,15411.4697132408
"E2F6",14388,14388,3.18745418034616e-05,0.868983104427576,17962.8439315874
"EBF1",13065,13065,3.05969464247468e-05,0.803437329141356,10484.5021516454
"EGR1",12833,12833,3.03554624654707e-05,0.810367579142895,17544.647400122
"ELF1",14347,14347,3.18522057652492e-05,0.867584474918544,11876.9911461145
"ELK1",12373,12373,2.99643424325053e-05,0.802642057326238,6029.94724005061
"ELK4",6196,6196,2.51477429900666e-05,0.471553447280712,3856.65093868837
"EP300",19157,19157,3.76010528294792e-05,0.972810289830153,36055.8107930385
