"names.deg.","degree_centrality","closeness_centrality","eigenvector_centrality","betweenness_centrality"
"P1",3,0.04,0.441805317930096,23
"P2",2,0.333333333333333,0.126728259236738,14
"P3",3,0.0384615384615385,0.539515332666379,6
"P4",7,0.0526315789473684,1,43.5
"P5",2,0.037037037037037,0.383223983135051,18
"P6",3,0.0285714285714286,0.445307424442091,14
"P7",2,0.0217391304347826,0.296227604002514,1
"P8",5,0.0344827586206897,0.671898111304989,0
"P9",2,NA,0.362896890926508,0
"P10",4,0.5,0.696746842677961,6.5
"P11",3,NA,0.592946029112472,0
"P12",1,NA,0.17815411871603,0
"P13",2,1,0.0361430935004391,8
"P14",1,NA,0.00958335923542875,0
"P15",0,NA,0,0
"P16",0,NA,0,0
