"gene_name","meth_category"
"AADACL3","TSS1500"
"ABHD1","TSS1500"
"ACAD11","TSS1500"
"ACOT11","TSS1500"
"ACOT11","TSS200"
"ACP5","TSS1500"
"ACP5","TSS200"
"ACPP","TSS200"
"ACSF2","TSS1500"
"ACSL6","TSS1500"
"ADAD2","TSS1500"
"ADAM19","TSS1500"
"ADAT3","TSS1500"
"ADCY4","TSS1500"
"AGRP","TSS1500"
"AGRP","TSS200"
"AGTRAP","TSS1500"
"AGTRAP","TSS200"
"AGXT","TSS1500"
"AHCYL1","TSS1500"
"AHNAK","TSS1500"
"AIF1","TSS1500"
"AIF1","TSS200"
"AKNA","TSS200"
"ALDH4A1","TSS1500"
"AMICA1","TSS1500"
"AMPD2","TSS1500"
"AMPD3","TSS1500"
"AMPD3","TSS200"
"ANKRD1","TSS200"
"ANKRD13C","TSS1500"
"ANKRD22","TSS200"
"AOAH","TSS1500"
"AOC2","TSS200"
"AP1G2","TSS1500"
"AP2A1","TSS1500"
"AP3M2","TSS1500"
"AQP9","TSS200"
"AREG","TSS1500"
"ARG1","TSS1500"
"ARG1","TSS200"
"ARHGAP25","TSS1500"
"ARHGAP27","TSS200"
"ARL5C","TSS1500"
"ARL 9.00","TSS200"
"ARRDC5","TSS1500"
"ARRDC5","TSS200"
"ASGR1","TSS200"
"ASGR2","TSS1500"
"ASXL1","TSS1500"
"ATG7","TSS1500"
"ATP6V0E2","TSS200"
"ATP6V1E2","TSS1500"
"ATXN7L1","TSS1500"
"ATXN7L1","TSS200"
"AVEN","TSS1500"
"AVIL","TSS1500"
"AZU1","TSS200"
"B3GNT8","TSS200"
"B9D2","TSS1500"
"BAALC","TSS1500"
"BCL10","TSS200"
"BFSP1","TSS1500"
"BMF","TSS1500"
"BMI1","TSS1500"
"BRCA2","TSS1500"
"BRD4","TSS1500"
"BSN","TSS1500"
"BTBD11","TSS1500"
"BTBD3","TSS200"
"C10orf105","TSS1500"
"C10orf105","TSS200"
"C10orf26","TSS1500"
"C10orf26","TSS200"
"C10orf53","TSS200"
"C10orf91","TSS1500"
"C11orf41","TSS1500"
"C11orf42","TSS1500"
"C11orf45","TSS1500"
"C11orf74","TSS1500"
"C11orf74","TSS200"
"C12orf10","TSS1500"
"C13orf30","TSS1500"
"C15orf5","TSS1500"
"C15orf52","TSS200"
"C15orf62","TSS1500"
"C16orf89","TSS1500"
"C16orf89","TSS1500"
"C17orf105","TSS200"
"C17orf59","TSS1500"
"C17orf87","TSS200"
"C17orf95","TSS1500"
"C19orf28","TSS1500"
"C19orf55","TSS1500"
"C19orf60","TSS1500"
"C19orf71","TSS1500"
"C19orf76","TSS1500"
"C1QTNF6","TSS200"
"C1orf125","TSS1500"
"C1orf161","TSS1500"
"C1orf200","TSS1500"
"C1orf69","TSS1500"
"C20orf123","TSS1500"
"C20orf123","TSS200"
"C20orf135","TSS1500"
"C20orf26","TSS1500"
"C20orf26","TSS200"
"C21orf62","TSS200"
"C21orf7","TSS200"
"C22orf15","TSS200"
"C22orf33","TSS1500"
"C22orf9","TSS1500"
"C2orf88","TSS1500"
"C3orf26","TSS1500"
"C3orf66","TSS1500"
"C4BPA","TSS200"
"C5orf38","TSS1500"
"C5orf4","TSS200"
"C5orf62","TSS1500"
"C5orf62","TSS200"
"C6orf105","TSS1500"
"C6orf138","TSS200"
"C7orf49","TSS1500"
"C8orf73","TSS1500"
"C8orf73","TSS200"
"CALML4","TSS200"
"CAMP","TSS200"
"CAPN3","TSS1500"
"CASP10","TSS200"
"CASP6","TSS1500"
"CAST","TSS1500"
"CBFA2T2","TSS1500"
"CBFA2T3","TSS200"
"CBLN4","TSS200"
"CBX5","TSS200"
"CCDC106","TSS200"
"CCDC11","TSS1500"
"CCDC33","TSS1500"
"CCDC62","TSS1500"
"CCL1","TSS1500"
"CCL23","TSS200"
"CCRL2","TSS1500"
"CCT6P1","TSS1500"
"CD177","TSS1500"
"CD1D","TSS1500"
"CD22","TSS1500"
"CD22","TSS200"
"CD244","TSS1500"
"CD248","TSS1500"
"CD248","TSS200"
"CD2BP2","TSS1500"
"CD300LB","TSS1500"
"CD302","TSS1500"
"CD34","TSS1500"
"CD59","TSS1500"
"CD72","TSS200"
"CD9","TSS1500"
"CDA","TSS1500"
"CDC42EP4","TSS1500"
"CDH5","TSS200"
"CDK2","TSS1500"
"CDYL","TSS200"
"CEACAM6","TSS200"
"CEACAM8","TSS1500"
"CEBPE","TSS200"
"CECR2","TSS200"
"CEL","TSS1500"
"CEP110","TSS1500"
"CETP","TSS200"
"CFD","TSS200"
"CFP","TSS1500"
"CHI3L1","TSS1500"
"CHIT1","TSS200"
"CHMP4B","TSS1500"
"CKMT2","TSS200"
"CLCF1","TSS1500"
"CLDN15","TSS200"
"CLEC11A","TSS200"
"CLEC12A","TSS1500"
"CLEC3B","TSS1500"
"CLEC9A","TSS200"
"CLIC1","TSS1500"
"CLNK","TSS200"
"CLRN1","TSS1500"
"CLTA","TSS1500"
"CLU","TSS1500"
"CLU","TSS200"
"CMIP","TSS200"
"CNDP2","TSS1500"
"COL11A2","TSS1500"
"COPG","TSS1500"
"COPS5","TSS1500"
"CPB2","TSS200"
"CPM","TSS1500"
"CPNE2","TSS1500"
"CPOX","TSS1500"
"CR1","TSS1500"
"CR1L","TSS1500"
"CRHBP","TSS200"
"CRNKL1","TSS1500"
"CRNKL1","TSS200"
"CRYBB1","TSS200"
"CSF2RB","TSS200"
"CSF3R","TSS1500"
"CSF3R","TSS200"
"CSGALNACT1","TSS1500"
"CSGALNACT1","TSS200"
"CSNK1E","TSS1500"
"CSPP1","TSS1500"
"CSTF1","TSS1500"
"CTAGE5","TSS1500"
"CTSA","TSS1500"
"CTSG","TSS1500"
"CTSZ","TSS1500"
"CXCL10","TSS1500"
"CXCR2","TSS1500"
"CXCR2","TSS200"
"CXXC5","TSS1500"
"CYB561","TSS1500"
"CYP7B1","TSS1500"
"DAB1","TSS1500"
"DALRD3","TSS1500"
"DAPP1","TSS1500"
"DARC","TSS1500"
"DBNDD2","TSS1500"
"DCAF4L1","TSS200"
"DCAF5","TSS1500"
"DCUN1D2","TSS1500"
"DEFA10P","TSS1500"
"DEFA4","TSS1500"
"DEFA4","TSS200"
"DEFB1","TSS200"
"DEPDC5","TSS1500"
"DGKZ","TSS200"
"DHCR24","TSS1500"
"DHODH","TSS1500"
"DHRS9","TSS1500"
"DIO1","TSS1500"
"DIO3","TSS200"
"DKFZP434H168","TSS1500"
"DLG2","TSS200"
"DNAH3","TSS1500"
"DNAJC5","TSS1500"
"DOC2B","TSS1500"
"DOK3","TSS1500"
"DOK3","TSS200"
"DOPEY2","TSS1500"
"DOT1L","TSS1500"
"DPPA4","TSS1500"
"DRD5","TSS200"
"DRG1","TSS1500"
"DSTYK","TSS1500"
"DTNA","TSS1500"
"DUSP3","TSS1500"
"DYRK4","TSS200"
"ECE1","TSS1500"
"EFCAB2","TSS1500"
"EGOT","TSS1500"
"EHD3","TSS1500"
"EIF4G1","TSS1500"
"ELANE","TSS1500"
"ELANE","TSS200"
"ELAVL4","TSS200"
"ELMO1","TSS200"
"ELN","TSS200"
"ELOVL6","TSS1500"
"EMR1","TSS200"
"EMR3","TSS200"
"ENC1","TSS1500"
"ENTHD1","TSS200"
"ENTPD1","TSS1500"
"ENTPD1","TSS200"
"EP400","TSS1500"
"EPB49","TSS1500"
"EPDR1","TSS200"
"EPHA2","TSS1500"
"EPN3","TSS1500"
"EPOR","TSS200"
"EPS8L1","TSS1500"
"ERC1","TSS1500"
"ERCC3","TSS1500"
"ERG","TSS1500"
