"gene_name","meth_category"
"A2LD1","TSS200"
"ABI3","TSS1500"
"ADORA2A","TSS1500"
"ALPI","TSS1500"
"ANKRD46","TSS1500"
"AP3M2","TSS1500"
"APBA2","TSS1500"
"APOL3","TSS1500"
"ARHGAP30","TSS1500"
"ARL 16.00","TSS1500"
"ARPC4","TSS1500"
"ARRDC2","TSS1500"
"ASB10","TSS1500"
"ATHL1","TSS1500"
"ATP9B","TSS1500"
"BATF","TSS1500"
"BCKDK","TSS1500"
"BCL9L","TSS1500"
"BCL9L","TSS200"
"BRDT","TSS1500"
"BRDT","TSS200"
"BRS3","TSS1500"
"BTNL2","TSS1500"
"C12orf50","TSS1500"
"C13orf26","TSS1500"
"C14orf64","TSS200"
"C17orf49","TSS1500"
"C22orf39","TSS1500"
"C2orf85","TSS1500"
"C8orf80","TSS200"
"CCDC25","TSS1500"
"CCDC50","TSS1500"
"CCDC88B","TSS1500"
"CCR2","TSS1500"
"CCR6","TSS1500"
"CCR6","TSS200"
"CCR7","TSS1500"
"CCR8","TSS1500"
"CD160","TSS200"
"CD1E","TSS200"
"CD27","TSS1500"
"CD28","TSS1500"
"CD3D","TSS1500"
"CD3G","TSS1500"
"CD3G","TSS200"
"CD53","TSS1500"
"CD7","TSS200"
"CD70","TSS1500"
"CD96","TSS200"
"CDK14","TSS200"
"CDK5","TSS1500"
"CENPM","TSS200"
"CHD3","TSS200"
"CHI3L2","TSS1500"
"CHN2","TSS200"
"CHRNA3","TSS1500"
"CHRNA6","TSS200"
"CLEC2D","TSS200"
"CLPS","TSS1500"
"CLUAP1","TSS1500"
"CMAH","TSS1500"
"COMT","TSS200"
"COX6A2","TSS1500"
"CTLA4","TSS200"
"CXCR5","TSS1500"
"CXCR5","TSS200"
"CXCR6","TSS200"
"DCLK3","TSS1500"
"DDAH2","TSS1500"
"DEFA5","TSS1500"
"DEFB131","TSS200"
"DENND2D","TSS1500"
"DENND2D","TSS200"
"DGKA","TSS1500"
"DGKA","TSS200"
"DIABLO","TSS200"
"DLEC1","TSS1500"
"DLEU2L","TSS200"
"DLG2","TSS1500"
"DLK1","TSS1500"
"DOM3Z","TSS1500"
"EDAR","TSS1500"
"ESCO2","TSS1500"
"ETFB","TSS200"
"EXOC1","TSS1500"
"FAIM3","TSS1500"
"FAM100B","TSS1500"
"FAM134B","TSS1500"
"FAM18B","TSS1500"
"FASLG","TSS200"
"FBRS","TSS1500"
"FEV","TSS1500"
"FOXN2","TSS1500"
"FOXS1","TSS1500"
"FRRS1","TSS1500"
"FSD1","TSS1500"
"FUS","TSS1500"
"FXYD2","TSS200"
"G6PC","TSS200"
"GATA1","TSS200"
"GCET2","TSS1500"
"GIMAP1","TSS1500"
"GIMAP4","TSS200"
"GIMAP5","TSS1500"
"GIMAP7","TSS1500"
"GIMAP7","TSS200"
"GNGT2","TSS200"
"GPR183","TSS1500"
"GPR55","TSS1500"
"GRAP2","TSS1500"
"GREB1","TSS1500"
"GZMK","TSS200"
"HAVCR2","TSS1500"
"HFE","TSS1500"
"HHLA2","TSS1500"
"HLA-DQA1","TSS1500"
"HLA-DQB2","TSS1500"
"HLA-DRB5","TSS1500"
"HMGB1L1","TSS200"
"HRASLS2","TSS1500"
"HSBP1L1","TSS1500"
"HTR2A","TSS1500"
"HTR6","TSS1500"
"IFITM1","TSS1500"
"IGFL2","TSS1500"
"IL21R","TSS200"
"IL23A","TSS200"
"IL2RB","TSS1500"
"IL2RG","TSS1500"
"IL32","TSS1500"
"IL32","TSS200"
"ITGB2","TSS200"
"ITK","TSS200"
"KCNA6","TSS1500"
"KCNN4","TSS1500"
"KIAA0748","TSS1500"
"KIAA1257","TSS1500"
"KIAA1683","TSS200"
"KIR3DL2","TSS1500"
"KIR3DX1","TSS200"
"KLK6","TSS1500"
"KLRD1","TSS200"
"KRT16","TSS1500"
"KRT6C","TSS1500"
"KRTAP1-5","TSS200"
"KRTAP10-9","TSS1500"
"KRTAP12-3","TSS1500"
"KRTAP4-8","TSS200"
"KSR1","TSS200"
"LAMA3","TSS200"
"LAX1","TSS1500"
"LAX1","TSS200"
"LCK","TSS1500"
"LIME1","TSS200"
"LOC100130093","TSS1500"
"LOC100216001","TSS1500"
"LOC143188","TSS200"
"LOC286359","TSS1500"
"LOC340074","TSS1500"
"LOC360030","TSS1500"
"LOC400696","TSS200"
"LOC441089","TSS1500"
"LOC606724","TSS1500"
"LOC641518","TSS1500"
"LOC645638","TSS200"
"LOC647121","TSS1500"
"LOC731779","TSS1500"
"LOC90246","TSS1500"
"LPPR1","TSS1500"
"LRRC43","TSS1500"
"LSP1","TSS1500"
"LTA","TSS1500"
"LTA","TSS200"
"LTB","TSS1500"
"LY86","TSS200"
"LY9","TSS200"
"LYZL6","TSS1500"
"MAPK13","TSS1500"
"MAST4","TSS1500"
"MCHR1","TSS1500"
"MDS2","TSS1500"
"MDS2","TSS200"
"MEOX1","TSS1500"
"MEOX1","TSS200"
"MEPE","TSS1500"
"MGAT4A","TSS200"
"MIR1204","TSS200"
"MIR200B","TSS1500"
"MIR205","TSS1500"
"MIR296","TSS1500"
"MIR298","TSS1500"
"MIR376A1","TSS1500"
"MIR376A2","TSS1500"
"MIR376B","TSS1500"
"MIR641","TSS1500"
"MIR654","TSS1500"
"MKNK2","TSS1500"
"MR1","TSS1500"
"MS4A1","TSS200"
"MT1B","TSS1500"
"MYADML2","TSS200"
"NAP1L4","TSS1500"
"NAPG","TSS1500"
"NAPSB","TSS1500"
"NAPSB","TSS200"
"NCRNA00114","TSS200"
"NCRNA00171","TSS1500"
"NEDD1","TSS1500"
"NLRP11","TSS1500"
"NUP210","TSS1500"
"OR10J5","TSS1500"
"OR13J1","TSS200"
"OR1E2","TSS1500"
"OR2H2","TSS200"
"PA2G4","TSS1500"
"PADI4","TSS1500"
"PARP10","TSS1500"
"PATL2","TSS1500"
"PATL2","TSS200"
"PBX2","TSS1500"
"PDCD1","TSS1500"
"PECAM1","TSS200"
"PIGS","TSS1500"
"PIRT","TSS1500"
"PMS2L1","TSS1500"
"PPCDC","TSS1500"
"PPIE","TSS1500"
"PPP2R5A","TSS1500"
"PRDM1","TSS200"
"PRF1","TSS1500"
"PRF1","TSS200"
"PSMB8","TSS1500"
"PSORS1C3","TSS1500"
"PTH2","TSS1500"
"PTP4A2","TSS1500"
"PTPRCAP","TSS1500"
"PVRL4","TSS1500"
"RAB11FIP1","TSS1500"
"RARRES3","TSS1500"
"RARRES3","TSS200"
"RASAL1","TSS200"
"RASSF5","TSS1500"
"RCAN2","TSS200"
"RCAN3","TSS1500"
"REST","TSS1500"
"RGS3","TSS1500"
"RHOH","TSS1500"
"RICS","TSS200"
"RIN1","TSS1500"
"RINL","TSS1500"
"RINT1","TSS1500"
"RNASE13","TSS1500"
"RNF113B","TSS1500"
"RNU86","TSS200"
"RPGRIP1","TSS1500"
"RSBN1","TSS1500"
"RUNX3","TSS1500"
"RUNX3","TSS200"
"S100A13","TSS1500"
"S100A7A","TSS200"
"SCGB1D4","TSS1500"
"SEMA4B","TSS1500"
"SEPT1","TSS1500"
"SEPT9","TSS1500"
"SEPT9","TSS200"
"SERPINA9","TSS1500"
"SIT 1.00","TSS200"
"SLC12A6","TSS200"
"SLC16A1","TSS1500"
"SLC22A11","TSS200"
"SLC25A36","TSS1500"
"SLC26A4","TSS1500"
"SLC26A9","TSS1500"
"SLC44A2","TSS1500"
"SLC4A2","TSS1500"
"SLC5A4","TSS1500"
"SLC6A7","TSS1500"
"SLFN12L","TSS1500"
"SLFN5","TSS1500"
"SNORA31","TSS200"
"SNORA4","TSS200"
"SNORA45","TSS1500"
"SNORA61","TSS200"
"SNORD105","TSS200"
"SNORD113-4","TSS200"
"SNORD115-6","TSS200"
"SNORD22","TSS1500"
"SNORD30","TSS200"
"SNORD31","TSS1500"
"SNORD32A","TSS200"
"SNORD33","TSS1500"
"SNORD33","TSS200"
"SNORD34","TSS1500"
"SNORD35A","TSS1500"
"SNORD35B","TSS200"
"SNORD42A","TSS1500"
"SNORD4A","TSS1500"
"SNORD99","TSS1500"
"SOCS5","TSS1500"
"SPOCK2","TSS1500"
"SRRM2","TSS1500"
"ST6GALNAC1","TSS200"
"SVIL","TSS1500"
"SYNPO2L","TSS200"
"TAGAP","TSS1500"
"TAP1","TSS1500"
"TC2N","TSS1500"
"TC2N","TSS200"
"TEKT5","TSS1500"
"TERC","TSS1500"
"TERF2IP","TSS1500"
"THEMIS","TSS200"
"THSD4","TSS1500"
"TIGIT","TSS200"
"TMC6","TSS1500"
"TMEM109","TSS1500"
"TMEM156","TSS1500"
"TMEM177","TSS1500"
"TMEM39A","TSS1500"
"TMEM45B","TSS1500"
"TMEM88B","TSS1500"
"TMIGD2","TSS1500"
"TNF","TSS1500"
"TNFAIP8","TSS1500"
"TNFRSF19","TSS200"
"TNRC6B","TSS1500"
"TRIM15","TSS200"
"TRIM41","TSS1500"
"TRIM43","TSS1500"
"TRIM69","TSS1500"
"TRMU","TSS1500"
"TSSK1B","TSS1500"
"TTC39C","TSS200"
"TTLL8","TSS1500"
"TXK","TSS200"
"UBA3","TSS1500"
"UBASH3A","TSS1500"
"UBASH3A","TSS200"
"UPF3A","TSS1500"
"UTRN","TSS1500"
"VPREB1","TSS1500"
"VTRNA1-2","TSS200"
"WFDC5","TSS1500"
"WIBG","TSS1500"
"WRAP53","TSS1500"
"ZAP70","TSS1500"
"ZBED2","TSS200"
"ZBTB32","TSS1500"
"ZC3H12D","TSS1500"
"ZNF581","TSS1500"
"ZNF596","TSS1500"
"ZNF705A","TSS1500"
"ZPBP2","TSS1500"
