"gene_name","meth_category"
"ACSM1","TSS1500"
"ACTA1","TSS200"
"AFG3L1","TSS200"
"AKR1B15","TSS1500"
"AKR1C2","TSS200"
"AMDHD2","TSS1500"
"ANKRD40","TSS200"
"ANP32C","TSS200"
"ANP32E","TSS1500"
"AP1M2","TSS1500"
"APOBEC4","TSS1500"
"APOL1","TSS1500"
"ASAP1IT1","TSS1500"
"ASPM","TSS1500"
"ATF7IP","TSS200"
"ATM","TSS1500"
"ATXN1","TSS200"
"B4GALT5","TSS1500"
"BAG3","TSS1500"
"BHLHB9","TSS200"
"BPI","TSS200"
"BRAF","TSS1500"
"BTG1","TSS1500"
"BTG4","TSS1500"
"C10orf41","TSS200"
"C11orf87","TSS1500"
"C11orf88","TSS1500"
"C12orf29","TSS200"
"C16orf90","TSS1500"
"C17orf107","TSS1500"
"C17orf68","TSS1500"
"C17orf77","TSS200"
"C18orf10","TSS1500"
"C2orf81","TSS1500"
"C6orf123","TSS1500"
"C6orf153","TSS1500"
"C7orf61","TSS1500"
"CABP1","TSS200"
"CACNA1E","TSS200"
"CACNA1F","TSS1500"
"CACNG2","TSS1500"
"CACNG6","TSS200"
"CADM1","TSS200"
"CAMK2B","TSS200"
"CCDC22","TSS1500"
"CCDC47","TSS200"
"CCKAR","TSS1500"
"CCNA1","TSS1500"
"CDH26","TSS1500"
"CDKN2C","TSS1500"
"CGB1","TSS1500"
"CHCHD10","TSS200"
"CHD3","TSS1500"
"CHN2","TSS1500"
"CHST7","TSS1500"
"CLEC2A","TSS1500"
"CNBD1","TSS1500"
"COL9A3","TSS200"
"COQ7","TSS1500"
"CREM","TSS200"
"CSHL1","TSS200"
"CSNK1E","TSS1500"
"CUL7","TSS1500"
"CXCL11","TSS1500"
"CXorf57","TSS200"
"CYP1A1","TSS200"
"CYP4F12","TSS1500"
"DCTN2","TSS200"
"DDAH2","TSS1500"
"DDN","TSS1500"
"DDX42","TSS1500"
"DGKK","TSS1500"
"DLEU2L","TSS200"
"DNAJB5","TSS1500"
"DOLK","TSS200"
"DPPA2","TSS1500"
"DUSP2","TSS1500"
"DUSP9","TSS1500"
"DYNLT1","TSS200"
"EFNA4","TSS200"
"EML3","TSS1500"
"ENPP1","TSS1500"
"F13B","TSS1500"
"FAM124A","TSS1500"
"FAM129A","TSS1500"
"FAM129B","TSS1500"
"FAM21A","TSS1500"
"FAM40A","TSS1500"
"FAM46A","TSS1500"
"FAM50B","TSS1500"
"FAM83E","TSS1500"
"FAM84B","TSS200"
"FAM99A","TSS1500"
"FBXL12","TSS1500"
"FBXO18","TSS1500"
"FBXO2","TSS1500"
"FCAR","TSS1500"
"FLJ40504","TSS1500"
"FLJ43663","TSS1500"
"FMNL1","TSS1500"
"FN1","TSS1500"
"FOXP4","TSS200"
"GAS2L1","TSS1500"
"GFI1","TSS1500"
"GH2","TSS200"
"GIMAP7","TSS1500"
"GLRX2","TSS1500"
"GLRX3","TSS200"
"GMNN","TSS200"
"GNMT","TSS1500"
"GOLIM4","TSS200"
"GPATCH1","TSS1500"
"GPR112","TSS1500"
"GPR19","TSS200"
"GPR56","TSS1500"
"GRAMD1C","TSS1500"
"GRM8","TSS1500"
"HAS3","TSS1500"
"HIST1H2AD","TSS1500"
"HIST1H2BA","TSS1500"
"HIST1H2BC","TSS1500"
"HIST1H3D","TSS1500"
"HLA-J","TSS1500"
"HMGB1L1","TSS200"
"HNRNPH1","TSS200"
"HSPA8","TSS1500"
"IFT57","TSS200"
"IGFL2","TSS1500"
"IGFL2","TSS200"
"IGSF5","TSS1500"
"IL32","TSS200"
"IL6","TSS1500"
"IL6ST","TSS1500"
"INE1","TSS200"
"ITIH5","TSS1500"
"ITPK1","TSS1500"
"ITPR2","TSS200"
"KCNH3","TSS200"
"KCNJ3","TSS1500"
"KDELC1","TSS200"
"KIAA0317","TSS200"
"KIAA0406","TSS200"
"KIAA0430","TSS1500"
"KLF17","TSS200"
"KLK2","TSS1500"
"KNTC1","TSS200"
"KRTAP10-11","TSS1500"
"KRTAP4-4","TSS1500"
"KRTAP5-10","TSS200"
"LGALS1","TSS200"
"LGALS7","TSS1500"
"LILRB3","TSS1500"
"LOC100130093","TSS1500"
"LOC100133669","TSS1500"
"LOC100134229","TSS1500"
"LOC100216001","TSS1500"
"LOC151174","TSS1500"
"LOC339535","TSS200"
"LOC340357","TSS1500"
"LOC389705","TSS1500"
"LOC401010","TSS200"
"LOC402778","TSS1500"
"LOC492303","TSS1500"
"LOC642006","TSS200"
"LOC643763","TSS1500"
"LOC651250","TSS1500"
"LOC723972","TSS200"
"LOC728643","TSS200"
"LOC730668","TSS1500"
"LOC731789","TSS200"
"LONRF3","TSS200"
"LPAR2","TSS200"
"LRRC37B","TSS200"
"LRRC37B2","TSS1500"
"LRRC8D","TSS1500"
"LTA","TSS1500"
"LYSMD3","TSS200"
"MAFA","TSS1500"
"MAGEA10","TSS200"
"MAPK8IP1","TSS1500"
"MARVELD2","TSS1500"
"MEST","TSS1500"
"MFSD6L","TSS1500"
"MGC16142","TSS1500"
"MICALCL","TSS200"
"MIR1204","TSS200"
"MIR1283-1","TSS200"
"MIR184","TSS200"
"MIR21","TSS1500"
"MIR34C","TSS200"
"MIR518A1","TSS1500"
"MIR526A2","TSS1500"
"MIR621","TSS1500"
"MIR770","TSS1500"
"MLKL","TSS1500"
"MRC2","TSS200"
"MRPL20","TSS200"
"MRPS14","TSS1500"
"MT1M","TSS1500"
"MT4","TSS200"
"MUC1","TSS200"
"MUPCDH","TSS1500"
"MYB","TSS200"
"MYCNOS","TSS1500"
"NACAP1","TSS200"
"NAT9","TSS1500"
"NBPF1","TSS1500"
"NDUFA4L2","TSS1500"
"NEGR1","TSS200"
"NFKBIA","TSS200"
"NFKBID","TSS200"
"NFKBIL1","TSS1500"
"NHS","TSS200"
"NKX3-2","TSS200"
"NLRC5","TSS1500"
"NUCKS1","TSS1500"
"OR1A2","TSS1500"
"OSBP2","TSS200"
"PAGE5","TSS200"
"PANX1","TSS1500"
"PAPPA2","TSS200"
"PARP2","TSS1500"
"PATE4","TSS1500"
"PBX2","TSS1500"
"PDIA6","TSS1500"
"PEAR1","TSS200"
"PFAS","TSS200"
"PGLYRP4","TSS200"
"PHF20","TSS1500"
"PKHD1L1","TSS200"
"PMEPA1","TSS1500"
"PMEPA1","TSS200"
"PNMAL1","TSS1500"
"PPP1R15B","TSS1500"
"PRAMEF22","TSS1500"
"PRB2","TSS1500"
"PRDM2","TSS1500"
"PRDX1","TSS200"
"PSG8","TSS1500"
"PSKH2","TSS200"
"PTGES","TSS1500"
"PTK6","TSS1500"
"PXDN","TSS1500"
"RAP2C","TSS200"
"RARG","TSS200"
"RASD2","TSS1500"
"REG1P","TSS1500"
"RFX7","TSS1500"
"RFX8","TSS200"
"RGPD3","TSS200"
"RND3","TSS1500"
"RNF138","TSS200"
"RNF165","TSS200"
"RNF26","TSS1500"
"RNF44","TSS200"
"RPGRIP1","TSS1500"
"RPP25","TSS1500"
"RPS25","TSS1500"
"RPSAP58","TSS200"
"RSF1","TSS1500"
"RSRC2","TSS200"
"S100A12","TSS1500"
"SETD2","TSS1500"
"SFMBT2","TSS200"
"SFT2D2","TSS200"
"SIX4","TSS200"
"SLC13A3","TSS200"
"SLC18A3","TSS1500"
"SLC23A2","TSS200"
"SLC2A3","TSS200"
"SLC2A4","TSS200"
"SLC39A11","TSS1500"
"SLC6A8","TSS200"
"SLC8A2","TSS200"
"SLC9A3R2","TSS200"
"SMEK1","TSS200"
"SMOC2","TSS1500"
"SNORA10","TSS200"
"SNORA76","TSS1500"
"SNORD104","TSS1500"
"SNORD114-3","TSS1500"
"SNORD114-4","TSS1500"
"SNORD115-1","TSS1500"
"SNORD115-23","TSS200"
"SNORD115-3","TSS1500"
"SNORD115-35","TSS1500"
"SNORD115-41","TSS200"
"SNORD115-6","TSS200"
"SNORD115-8","TSS1500"
"SNORD116-8","TSS1500"
"SNORD32B","TSS1500"
"SNORD56","TSS200"
"SNORD57","TSS1500"
"SNORD83A","TSS200"
"SNTB1","TSS200"
"SON","TSS1500"
"SORCS3","TSS1500"
"SPDYE4","TSS200"
"SPSB4","TSS1500"
"SSX3","TSS1500"
"ST3GAL6","TSS1500"
"SULT1A2","TSS1500"
"SULT1A3","TSS1500"
"SULT1A4","TSS1500"
"SYNC","TSS200"
"SYT5","TSS200"
"TAS2R19","TSS1500"
"TBC1D26","TSS1500"
"TCF7L2","TSS1500"
"THAP7","TSS1500"
"THBD","TSS1500"
"THUMPD1","TSS1500"
"TICAM2","TSS200"
"TKT","TSS200"
"TMC5","TSS1500"
"TMC8","TSS1500"
"TMEM45A","TSS200"
"TNFAIP8L1","TSS200"
"TNFRSF13B","TSS200"
