Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	47	7.4603174603174605	4.6054946994137807E-14	PTGER4, ECM1, CXCL9, PTAFR, ITGB2, CXCR4, NOD1, CXCL1, TCIRG1, IL1RAP, CXCR6, MEFV, AIF1, CXCL5, PYCARD, PSTPIP1, ADGRE5, CLEC7A, CXCR3, CCRL2, CCL4, CXCR2, CCL3, AGR2, TAC1, CCR5, CCL17, CCR2, NFAM1, SPHK1, LY86, NR1H4, NKG7, CYBA, PPBP, TNFRSF1B, IL17RC, TLR1, CXCL10, HCK, BMP2, THEMIS2, ELF3, IL1B, PTX3, TLR6, NFKBID	589	417	19256	3.6847886716094016	1.3292422718080843E-10	1.3286852207808757E-10	1.3171714840323413E-10
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	239	37.93650793650794	9.767559160337071E-13	IFITM1, IL1RN, CLEC10A, RRH, AQP4, ABCA13, ACTB, RAPGEFL1, LGALS3, DIP2A, CXADR, KCNK10, PRKCB, SLC6A15, SLC6A13, MCEMP1, SLC5A9, ADGRB1, MALL, EPHA1, CFB, SKAP1, SKAP2, NECAB2, GRB7, IGSF6, NRN1, HPN, EBI3, IL20RB, THY1, ART4, KLRK1, INPP5K, KCNMB4, TSPAN1, TRPM3, TMEM184A, LYN, CADM3, PILRA, GPR137B, RPE65, GNG13, SLC6A6, FXYD3, FXYD6, CALM1, SCN2B, ACHE, CLIC4, DIRAS1, DIRAS2, SLC6A1, SLC7A10, CD3D, GPR132, GSG1, RAC2, PLEKHN1, ANXA9, LDLRAP1, DLGAP3, CCR5, CCR2, CD52, FCER1G, TNFRSF12A, SYK, ANXA2, SPHK1, NFAM1, RHOH, SLC35G2, IL17RC, VAV1, GJD2, APBB1IP, TLR1, HCK, CEACAM1, MDFIC, RARA, CD48, TLR6, SGK1, RGR, HCST, VAMP2, PTGER4, LILRA6, GRAMD1B, SELPLG, STAU2, PTAFR, NOXO1, CXCR4, PRICKLE3, CXCR6, CST3, CXCR3, CXCR2, HAS2, CKB, LRRC26, GABRA1, MPP3, F10, IL10RA, GAD1, GLYCAM1, PLEKHA4, SNX20, LILRB4, DEF6, KRT19, RIT2, FAP, GPAM, SLC28A2, TJP3, RAB3A, NCF2, DGKA, NCF4, RTKN2, GUCA1B, IL1RAP, CELSR1, DUOXA1, CCRL2, SLC16A8, ARID2, SLC16A3, RGS7, CD300A, CYBA, TYROBP, CLEC4D, MYADM, ELMO1, LY6D, PKP1, PTPRCAP, RELL2, CLEC4E, SLC27A3, LY6H, OSBP2, NDRG4, KCNE2, NTM, CSF2RB, GPR84, CABP1, ADIPOR1, CORO1A, GOLGA7B, SNTG2, CLEC7A, LPXN, STAP2, CD300LD, WNT4, GGT7, AMBP, SLC52A3, NKG7, TMPRSS13, BMP2, BFSP2, BFSP1, PTPRC, SELL, FES, GNB1, CSPG5, FGFR3, MUC20, KCNK6, PODXL2, TRADD, ITGB2, PLEK, TCIRG1, LSP1, SPN, ADGRE1, PSTPIP1, RASGEF1A, ADGRE5, ITGB7, QRFPR, TRPC3, TNFRSF18, ABCC6, TMPRSS11E, TNFRSF1B, DNM1, FGR, LCK, LCP1, LTB, LTF, CLEC12A, CEBPE, NOD1, ATP10A, ATP2C2, SAMHD1, IL2RG, CDC42, RASD2, GNG3, MUC1, CLMP, CYTH4, ERBB3, ERBB2, RAB29, PDE6C, S1PR5, SH2B2, MARCKSL1, SEMA4D, KCNJ13, KCNIP4, PCDH8, PTPN13, MUC5B, CD2, OPN1SW, TSPAN13, CD6, CD5, KLF9, IL2RB, MYO1F, MYO1G	607	5395	20521	1.4976705198693647	4.698283984083673E-10	4.698195956122131E-10	4.4442394179533677E-10
GOTERM_BP_DIRECT	GO:0007601~visual perception	31	4.920634920634921	3.650541272031974E-12	GUCA1B, RRH, GUCA1A, CRYBA4, CABP1, NR2E3, RLBP1, CPLX3, SIX6, PDE6C, TIMP3, LRAT, BBS7, BBS4, IMPG2, PDE6H, ABCC6, RPE65, GJD2, COL1A1, CRYGD, BFSP2, OPN1SW, SFRP5, UNC119, RDH5, FSCN2, CRYAA, RGR, PPEF2, VSX1	589	215	19256	4.713831089351285	1.0531762684173884E-8	5.265905784906122E-9	5.220274019005723E-9
GOTERM_MF_DIRECT	GO:0005515~protein binding	481	76.34920634920634	1.0970847156411055E-11	CDA, PGAP2, CLEC10A, STMN2, STMN3, ELK3, KRTCAP3, LURAP1L, FGFR1OP2, DPYSL3, LRAT, DIP2A, CXADR, PRKCB, ARMC9, MCEMP1, ISL1, CH25H, ISL2, MYL7, RUFY3, PADI4, SKAP1, CFB, ATF4, SKAP2, CDCA5, HPN, CDCA7, IL20RB, NCAPG, CDCA8, THY1, CFP, MEFV, SULT1A1, KLRK1, RHOT1, PRDM16, KCNMB4, LYN, NFE2, NAPSA, CADM3, SETD1B, PLK1, GPR137B, COL1A1, MLLT11, FA2H, FAM111A, PPFIBP2, SNAI1, UNC119, FXYD6, FXYD5, ZBTB8B, PAM, ARHGAP9, ACHE, RARG, NRSN1, SLC6A1, SHD, ADAMTSL4, RBPMS2, NEFL, TIMP3, NEFM, PLEKHN1, ANXA9, TK1, RSPO1, DLGAP3, LDLRAP1, GPRASP2, DUSP2, ANXA2, ARG1, SPHK1, NFAM1, APBB1IP, PLCB3, CKS2, RARA, AHRR, CRYAA, RGR, CRYAB, HCST, VAMP2, SAMD7, STAU2, PTAFR, CCNDBP1, AGR2, HAS2, STAT6, CKB, BRD7, CCL17, LRRC25, LRRC26, F10, IL10RA, MOCOS, NR1H4, G0S2, SNX20, DEF6, MZT1, LRG1, AADAC, TMEM54, HSPA1B, MSRB1, MTCH2, RAB3A, RASL11B, NCF2, NCF4, GMNN, HP, GUCA1B, F13A1, LRRC73, GUCA1A, HDDC3, PYCARD, PITX1, SLC16A3, DGAT2, USP2, NEAT1, NCCRP1, ARMCX3, RAB32, CLEC4D, LIX1, LY6D, PKP1, PHIP, FSCN2, PTPRCAP, TCTA, CLEC4E, LY6H, OSBP2, PFKFB4, KHDRBS3, KCNE2, AK4, FBXO44, CORO1A, GOLGA7B, VTN, KLC3, CLEC7A, CD300LD, SLC15A3, RAB6B, NADK, IP6K2, BCL2L15, NEK8, AMBP, LY86, NSG1, ARPC5, CXCL10, BFSP2, BFSP1, PTPRC, NSG2, REEP4, NFE2L3, CSPG5, SRXN1, RNF14, TRADD, ITGB2, LRRK1, TCIRG1, LSP1, DUSP16, RLBP1, SPN, PSTPIP1, ADAMTS1, PHACTR3, EMILIN2, ITGB7, TRPC3, TNFRSF18, TNFRSF1B, INMT, SAPCD2, LCK, ESRP1, MCM3, BIRC5, MCM5, TRIM59, LCP2, SLC25A12, SEC22C, CEBPE, UHRF1, ITLN1, NOD1, GLRX, ATP10A, IL2RG, BARX2, HDAC7, CDC42, TTR, SH3BP1, CCL4, CCL3, RNF39, RAB29, E2F2, SH2B2, FDXACB1, E2F8, PTPN18, MARCKSL1, SEMA4D, GZMA, KCNIP4, GZMB, PTPN13, KLF3, KLF2, TTC39B, GZMK, GZMM, EVI2A, APOC2, IL2RB, PTPN6, MYO1F, IFITM1, IL1RN, RRH, AQP4, MKI67, ACTB, LGALS3, SOX1, TRIM27, TNS4, SOX7, PDK1, ATP6V1G2, SLC6A15, CIRBP, KRT7, MAPK8IP2, ADGRB1, MALL, PFN2, NECAB2, GRB7, BEX2, BEX1, EBI3, CEND1, KLK6, TSPAN8, SLAMF8, ST8SIA5, INPP5K, RIMKLA, TSPAN1, ZRANB1, RASSF7, IFI44, PILRA, PPBP, HSPA12A, GNG13, COL9A1, CALM1, VSX1, TOP2A, CLIC4, ECM1, DIRAS1, DIRAS2, SLC7A10, CD3D, WFDC2, SERP2, ACADL, GUK1, GSG1, RAC2, CTSH, BBS7, CCR5, BBS4, CCR2, MAP4K1, FCER1G, TNFRSF12A, SYK, NCOA3, RHOH, SLC35G2, NME5, SYP, IL17RC, VAV1, TLR1, HCK, CEACAM1, B3GNT8, MDFIC, IL1B, CD48, TLR6, SGK1, PTGER4, NAPB, FOXC1, SELPLG, HDC, NOXO1, CXCR4, PRICKLE3, CRYBA4, AIF1, CST3, SCEL, TCEAL5, DZANK1, CXCR3, CXCR2, EMC8, MPP3, GAD1, KLHL1, KLK13, OSM, PLEKHA4, GRHL2, LILRB4, BATF, TTC8, KRT19, RIT2, FAP, THEMIS2, GPAM, KRT17, ZDHHC9, TJP3, SPC25, FAIM2, CLEC18A, SCGN, PTTG1, FAM162A, CWC22, ARHGDIB, ARID2, ZBP1, OSR2, CD300A, CYBA, CARTPT, KRT75, RUNDC3A, PCP2, DOK2, TYROBP, EEF1A2, SCG5, MYADM, ELMO1, RELL2, MZF1, FAIM, NDRG4, UBA7, NTM, HPCA, CSF2RB, CABP1, NTS, ADIPOR1, CPLX1, TMEM243, CCNB2, SNTG2, ZMAT4, LPXN, STAP2, GGT7, SLC52A3, DNAJC12, NKG7, BMP2, RALYL, ARHGAP30, SELL, FES, GNB1, GNB5, MXD1, FGF12, FGFR3, NFKBID, CREBZF, CXCL9, PODXL2, PLEK, CXCL1, NR2E3, CXCL5, HK3, LYL1, CALB1, ADGRE5, SIX2, MYBL2, QRFPR, CYTIP, SULT4A1, SRGN, SVOP, MMP3, TMPRSS11E, DNM1, FGR, CCNA2, SFPQ, VCAN, ELF3, ELF4, SAG, SAXO2, LTF, KRT80, CLEC12A, CRMP1, ATP2C2, SAMHD1, PTHLH, ERICH5, MUC1, PDLIM3, GNG3, CYTH4, PDLIM2, CLMP, ERBB3, MAT2A, ERBB2, MKNK2, NRIP3, SNCG, S1PR5, SNCB, VAT1L, GALNT6, RRM2, PDE6H, EYA2, CMTM5, MUC5B, GDAP1, NAP1L5, CD2, CRYGD, OPN1SW, CD6, CD5, PTX3	605	12707	18883	1.1814563067015187	8.974188725474619E-9	8.974152973944243E-9	8.875415349536543E-9
UP_KW_BIOLOGICAL_PROCESS	KW-0844~Vision	23	3.650793650793651	5.109252589648358E-11	PDE6H, ABCC6, GUCA1B, GUCA1A, CABP1, NR2E3, RLBP1, RPE65, CPLX3, CRYGD, BFSP2, OPN1SW, UNC119, TIMP3, RDH5, PDE6C, LRAT, BBS7, CRYAA, RGR, PPEF2, BBS4, VSX1	359	127	11447	5.774592590967912	5.620183207710738E-9	5.620177848613194E-9	5.466900270923743E-9
GOTERM_BP_DIRECT	GO:0007165~signal transduction	81	12.857142857142856	2.2644033066580596E-10	ARHGAP9, CXCL9, IL1RN, ECM1, RNF14, TRADD, DIRAS1, GMFG, RTKN2, DIRAS2, GUCA1A, CXCL1, LSP1, NR2E3, CXCL5, RAPGEFL1, ELK3, SPN, PYCARD, PSTPIP1, CAPN5, RAC2, PGLYRP1, CCR5, KCNK10, PRKCB, TNFRSF18, NFAM1, RHOH, CARTPT, GNL1, TLR1, APBB1IP, DOK2, CEACAM1, TYROBP, OMP, SFRP5, IL1B, ADGRB1, SAG, PKP1, LTB, TLR6, SKAP2, GRB7, BEX2, NDRG4, BEX1, CLEC12A, NOD1, CSF2RB, NTS, IL2RG, RASD2, KLRK1, TTR, RHOT1, ERBB3, SH3BP1, ERBB2, CCL4, CXCR2, PDE6C, LPXN, STAT6, LYN, SEMA4D, CMTM5, RASSF7, PILRA, ARHGAP25, CXCL10, OPN1SW, ARHGAP30, RIT2, GNB1, IL2RB, CSPG5, GNB5, FGF12	589	1251	19256	2.1167934922011455	6.532800838066066E-7	2.1776011799028338E-7	2.1587311523473502E-7
KEGG_PATHWAY	hsa04062:Chemokine signaling pathway	27	4.285714285714286	2.78741838507958E-10	CXCL9, CXCR4, CXCL1, CXCR6, CXCL5, CDC42, GNG3, CXCR3, CCL4, CXCR2, CCL3, RAC2, CCR5, CCL17, CCR2, LYN, PRKCB, PPBP, VAV1, GNG13, FGR, CXCL10, HCK, PLCB3, GNB1, ELMO1, GNB5	275	192	8662	4.429431818181818	7.804770307817677E-8	7.804771478222825E-8	7.3030361689085E-8
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	32	5.079365079365079	3.706257909457372E-9	CSF3, IL1RN, CXCL9, EBI3, IL20RB, CXCR4, CSF2RB, CXCL1, IL1RAP, CXCR6, IL2RG, CXCL5, CXCR3, CCL4, CXCR2, CCL3, CCR5, CCL17, CCR2, TNFRSF12A, IL10RA, TNFRSF18, OSM, PPBP, TNFRSF1B, IL17RC, CXCL10, BMP2, IL1B, IL2RB, LTB, RELL2	275	297	8662	3.3937434955616776	1.037751663157671E-6	5.188761073240321E-7	4.855197861389158E-7
UP_KW_BIOLOGICAL_PROCESS	KW-0395~Inflammatory response	25	3.968253968253968	6.683037807380689E-9	CXCL9, CXCL1, REG3G, IL1RAP, MEFV, PYCARD, PSTPIP1, CLEC7A, CCL4, CCL3, CCL17, CCR2, LYN, LY86, NR1H4, NKG7, IL17RC, TLR1, CXCL10, HCK, THEMIS2, ELF3, IL1B, TLR6, NFKBID	359	192	11447	4.151796077065924	7.351338890959624E-7	3.675670794059379E-7	3.5754252269486687E-7
GOTERM_CC_DIRECT	GO:1904724~tertiary granule lumen	14	2.2222222222222223	6.733028591469551E-9	CDA, HP, CXCL1, PPBP, CFP, CTSS, CNN2, CST3, LRG1, CTSH, PTX3, PTPN6, PGLYRP1, LTF	607	56	20521	8.45181219110379	3.2385815132984774E-6	1.619293376248427E-6	1.531764004559323E-6
