"SystematicName","Row","Col","ControlType","ProbeName","logFC","AveExpr","t","P.Value","adj.P.Val","B","GenBank_accession","GENE_SYMBOL","GENE_NAME"
"A_55_P1963960",146,102,0,"A_55_P1963960",1.29951659349221,5.93571126752002,7.00087441711554,9.57393057688614e-06,0.00441685114297077,3.82895731232701,"XM_006544504","LOC102642410","tyrosine-protein phosphatase non-receptor type substrate 1-like"
"A_55_P2529039",4,147,0,"A_55_P2529039",2.0990374790427,6.15201823617021,7.73492738505298,3.92343796085853e-06,0.00286047297954538,4.66034183124164,"",NA,NA
"A_55_P2725951",171,23,0,"A_55_P2725951",1.29483903210145,7.91956475861217,6.00799941584094,4.47813272155403e-05,0.00892770469479588,2.37795317556643,"",NA,NA
"AF000427",44,105,0,"A_51_P205000",2.72575075781272,9.17340625230806,7.85245439145913,1.03016820720444e-05,0.00453154224169116,3.82824590209797,"AF000427",NA,NA
"AF233647",68,48,0,"A_55_P1952882",2.6273785434876,8.92182872017189,4.19835448728035,0.00393480564250676,0.0802878627055183,-1.60454000928056,"AF233647","Cyp4f18","cytochrome P450, family 4, subfamily f, polypeptide 18"
"AF345951",29,68,0,"A_51_P242634",2.64726264914647,8.08526135506761,13.8372954246285,3.9450563019201e-09,5.5965554963114e-05,10.4344104770489,"AF345951","Dusp16","dual specificity phosphatase 16"
"AK014513",224,44,0,"A_66_P134562",1.82758409986104,6.55344770253022,9.65708598404385,2.80354104099423e-07,0.000895807160976586,7.00615813401927,"AK014513","4631405K08Rik","RIKEN cDNA 4631405K08 gene"
"AK016682",108,124,0,"A_52_P425317",1.14043145889544,6.35061039994024,5.37470529234299,0.000128625660121094,0.0150484910852203,1.37143905409128,"AK016682","4933406C10Rik","RIKEN cDNA 4933406C10 gene"
"AK020764",9,37,0,"A_66_P138645",2.49847940349205,7.43967986033301,4.91997843475088,0.00118906790762877,0.0447734959644292,-0.497734699491925,"AK020764","Mir142hg","Mir142 host gene (non-protein coding)"
"AK020815",132,60,0,"A_55_P1974807",-1.25535230365423,6.06266891396307,-6.8313748338135,1.23420314554168e-05,0.00486353177040018,3.59214585292818,"AK020815","A930006D01Rik","RIKEN cDNA A930006D01 gene"
"AK044220",224,65,0,"A_66_P130944",-1.0450552920903,7.79575361396962,-4.04193310811442,0.00141045552124875,0.04858632342657,-0.93429755293218,"AK044220",NA,NA
"AK088142",198,49,0,"A_51_P324934",1.00147193310449,6.91232742138672,4.94031247957204,0.000273880959128911,0.0219201340278844,0.645675285458339,"AK088142","Mcm3","minichromosome maintenance deficient 3 (S. cerevisiae)"
"AK158390",19,115,0,"A_66_P100388",-1.10586980621985,5.13835000167887,-3.61799224609852,0.00537862133019715,0.0930711040411184,-2.06744379734356,"AK158390","Gm15411","predicted gene 15411"
"chr1:135956616-135957485_R",35,45,0,"A_30_P01027147",-1.15408956772063,7.19728502480127,-4.76472450829367,0.000374408414059212,0.0258464786566788,0.344652763989236,"",NA,NA
"chr1:175654606-175672031_R",67,157,0,"A_30_P01031526",1.08912540374246,7.89176430112158,5.38261397718078,0.000126898230504398,0.0149705615176134,1.38439206233437,"",NA,NA
"chr1:175654606-175672031_R",212,163,0,"A_30_P01017895",1.11427522226986,8.81713900413578,4.75658782383444,0.000379909147223221,0.0259714625559038,0.330602112018596,"",NA,NA
"chr11:35810031-35810205_F",176,90,0,"A_30_P01033672",1.21439919941627,9.03225645626784,4.22486970723205,0.00110098864563706,0.0429593122743218,-0.674499287780428,"",NA,NA
"chr12:55844075-55898175_R",83,77,0,"A_30_P01027230",-1.47034424613518,5.22288003145807,-8.71493711275891,8.96645008652471e-07,0.0012247501497638,5.98698776380816,"",NA,NA
"chr12:81221532-81232030_F",111,147,0,"A_30_P01017437",1.44060945429506,8.11814043687847,4.65397839450584,0.000581607171260436,0.0316909857544505,-0.032988675918447,"",NA,NA
"chr17:39960567-39992817_R",170,133,0,"A_30_P01019912",1.11309580228929,8.62305994601029,3.97064237844532,0.00169438770681052,0.0526838522865549,-1.09892349277447,"",NA,NA
"chr17:39979941-39981793_R",148,132,0,"A_30_P01025659",1.06129297951095,7.8219075460605,3.5133515598825,0.00425419562272168,0.0831568482987743,-1.96618205927346,"",NA,NA
"chr17:85422370-85423168_F",138,145,0,"A_30_P01032529",-1.05118926789841,6.38277525917806,-5.9928921586324,4.58928499090405e-05,0.00894910573226289,2.35467580967001,"",NA,NA
"chr18:70400082-70404236_R",64,70,0,"A_30_P01030369",-3.25228221554497,7.56739021534547,-4.23389665400985,0.00442380218709467,0.0848209368448062,-1.67396387276928,"",NA,NA
"chr4:8606650-8614031_R",11,103,0,"A_30_P01021905",1.18249361354597,5.88011561503367,5.75674434850395,6.76062969408088e-05,0.0108925742526056,1.98613375685885,"",NA,NA
